cycle,duration_ms,total_assets,approved,health_score
1,497.94936180114746,6,0,100
10,217.09847450256348,6,0,100
11,187.4542236328125,6,0,100
12,181.25104904174805,6,0,100
13,199.84865188598633,6,0,100
14,183.18414688110352,6,0,100
15,201.38812065124512,6,0,100
16,222.83220291137695,6,0,100
17,647.8352546691895,6,0,100
18,206.0849666595459,6,0,100
19,201.6901969909668,6,0,100
2,204.67591285705566,6,0,100
20,201.31230354309082,6,0,100
21,214.9944305419922,6,0,100
22,533.0567359924316,6,0,100
23,2514.8985385894775,50,7,100
3,210.58225631713867,6,0,100
4,275.50578117370605,6,0,100
5,225.60501098632812,6,0,100
6,157.42087364196777,6,0,100
7,238.5690212249756,6,0,100
8,324.95665550231934,6,0,100
9,222.33915328979492,6,0,100
