pair,timeframe,direction,quality,confidence,consensus,entry_score,risk_reward,regime,kalman_direction,kalman_trend_state,trend_vs_kalman_conflict,confidence_minus_quality,approved,reject_reason,institutional_score,structural_score,market_score,momentum_score,liquidity_score,risk_score,confidence_score_scanner,flow_score,timing_index,conviction_score,entry_score_scanner
0GUSDT,30m,short,0.6216,0.7444,0.74,0.4537,0.0,ranging,DOWN,continuing,False,0.1228,False,Confidence 0.74 < 0.75,0.6358,0.5135,0.4535,0.5358,0.916,0.7716,0.7444,0.7,0.676,0.9091,0.4537
0GUSDT,1h,short,0.6021,0.7424,0.74,0.0,0.0,ranging,DOWN,continuing,False,0.1403,False,RVOL 0.62 < 0.7,0.6178,0.5132,0.4535,0.4844,0.916,0.7716,0.7424,0.6,0.681,0.8964,0.0
0GUSDT,4h,short,0.5845,0.7441,0.74,0.0,0.0,ranging,DOWN,continuing,False,0.1596,False,RVOL 0.19 < 0.7,0.603,0.5135,0.4535,0.2774,0.916,0.7716,0.7441,0.76,0.56,0.8201,0.0
0GUSDT,1d,short,0.564,0.7416,0.74,0.0,0.0,ranging,DOWN,continuing,False,0.1776,False,RVOL 0.37 < 0.7,0.6101,0.5132,0.4535,0.4337,0.916,0.7716,0.7416,0.6,0.46,0.7627,0.0
AAPLONUSDT,1h,short,0.645,0.7133,0.74,0.0,0.0,calm,DOWN,continuing,False,0.0683,False,ADX 25.0 < 25,0.6943,0.5948,0.3924,0.6961,0.958,0.9725,0.7133,0.7,0.63,0.8127,0.0
AAPLONUSDT,1d,short,0.586,0.7869,0.74,0.6076,0.0,calm,UP,continuing,False,0.2009,False,RVOL 0.48 < 0.7,0.6148,0.514,0.3924,0.2166,0.958,0.9654,0.7869,0.76,0.58,0.7075,0.6076
AAPLONUSDT,30m,long,0.5691,0.7132,0.74,0.5886,0.0,calm,DOWN,continuing,False,0.1441,False,ADX 25.0 < 25,0.6407,0.5948,0.3924,0.5391,0.958,0.9725,0.7132,0.4,0.592,0.6182,0.5886
ACHRONUSDT,1d,short,0.607,0.7422,0.74,0.0733,0.0,ranging,DOWN,continuing,False,0.1352,False,RVOL 0.43 < 0.7,0.6468,0.5132,0.4664,0.5652,0.916,0.8212,0.7422,0.7,0.53,0.8179,0.0733
ACHRONUSDT,30m,short,0.5388,0.7533,0.74,0.487,0.0,ranging,UP,starting,False,0.2145,False,RVOL 0.60 < 0.7,0.6037,0.515,0.4664,0.6006,0.916,0.8212,0.7533,0.2,0.63,0.6224,0.487
ACNUSDT,4h,short,0.6529,0.8672,0.82,0.0,0.0,trending_down,DOWN,reversing,False,0.2143,False,RVOL 0.34 < 0.7,0.7344,0.514,0.9206,0.6083,0.958,0.8619,0.8672,0.6,0.529,0.6872,0.0
ACNUSDT,30m,short,0.6262,0.8713,0.82,0.0,0.0,trending_down,DOWN,continuing,False,0.2451,False,Entry Zone FAIL (score 0.00 < 0.4),0.7135,0.5147,0.9206,0.5582,0.958,0.8619,0.8713,0.46,0.48,0.7097,0.0
ACNUSDT,1d,short,0.5793,0.785,0.82,0.0,0.0,trending_down,DOWN,continuing,False,0.2057,False,RVOL 0.59 < 0.7,0.613,0.1903,0.9206,0.4786,0.958,0.8339,0.785,0.5,0.499,0.817,0.0
ACTUSDT,4h,short,0.64,0.783,0.74,0.1963,0.0,trending_down,DOWN,continuing,False,0.143,False,RVOL 0.14 < 0.7,0.7013,0.594,0.8745,0.5675,0.916,0.7084,0.783,0.5,0.619,0.8349,0.1963
ACTUSDT,1d,short,0.5687,0.7178,0.74,0.0,0.0,trending_down,DOWN,continuing,False,0.1491,False,RVOL 0.25 < 0.7,0.6514,0.5944,0.8745,0.4107,0.916,0.7084,0.7178,0.3,0.56,0.6321,0.0
ACTUSDT,1h,short,0.5086,0.7151,0.74,0.173,0.0,trending_down,DOWN,continuing,False,0.2065,False,Sem BOS ou CHoCH confirmado,0.5645,0.1906,0.8745,0.5295,0.916,0.6733,0.7151,0.3,0.439,0.6066,0.173
ADIUSDT,30m,long,0.5693,0.6698,0.74,0.0,0.0,ranging,SIDE,reversing,False,0.1005,False,Entry Zone FAIL (score 0.00 < 0.4),0.6492,0.5944,0.4093,0.6233,0.916,0.9133,0.6698,0.5,0.55,0.5299,0.0
ADIUSDT,4h,long,0.5504,0.7436,0.74,0.0,0.0,ranging,UP,continuing,False,0.1932,False,RVOL 0.17 < 0.7,0.5933,0.5135,0.4093,0.2742,0.916,0.9063,0.7436,0.6,0.48,0.7157,0.0
ADIUSDT,1h,long,0.5471,0.7478,0.74,0.0,0.0,ranging,DOWN,continuing,False,0.2007,False,RVOL 0.69 < 0.7,0.6074,0.5142,0.4093,0.4975,0.916,0.9063,0.7478,0.4,0.586,0.5875,0.0
AGLDUSDT,30m,long,0.5834,0.7477,0.76,0.0,0.0,reversal,UP,continuing,False,0.1643,False,RVOL 0.22 < 0.7,0.6259,0.594,0.8482,0.4039,0.916,0.174,0.7477,0.6,0.503,0.8236,0.0
AKEUSDT,30m,long,0.5985,0.7757,0.72,0.7331,0.0,volatile,DOWN,reversing,False,0.1772,False,ADX 21.4 < 25,0.5704,0.1913,0.4534,0.7336,1.0,0.1691,0.7757,1.0,0.77,0.6418,0.7331
